GraphName,Total Time,Modularity
Brightkite_edges,175.667,0.684856
web-Google,352.771,0.97703
com-orkut.ungraph,21452.2,0.665853
Amazon0505,224.016,0.872576
Amazon0505,226.479,0.872576
Amazon0505,223.7,0.872576
Amazon0505,221.18,0.872576
Amazon0505,224.585,0.872576
cit-Patents,2098.96,0.801085
roadNet-PA,304.663,0.988602
roadNet-PA,299.315,0.988602
roadNet-CA,321.485,0.991816
roadNet-CA,380.006,0.991816
roadNet-CA,394.115,0.991816
roadNet-CA,374.485,0.991816
roadNet-TX,303.203,0.990782
roadNet-TX,292.664,0.990782
com-amazon.ungraph,338.202,0.923442
com-amazon.ungraph,401.214,0.923442
com-amazon.ungraph,334.894,0.923442
com-dblp.ungraph,254.965,0.81469
com-dblp.ungraph,258.592,0.81469
com-dblp.ungraph,251.844,0.81469
as-skitter,696.075,0.847813
as-skitter,703.565,0.847813
as-skitter,769.973,0.847813
as-skitter,709.682,0.847813
web-Google,276.098,0.97703
web-Google,275.639,0.97703
web-Google,275.509,0.97703
com-youtube.ungraph,1117.16,0.715648
com-youtube.ungraph,1094.98,0.715648
com-youtube.ungraph,1248.22,0.715648
com-youtube.ungraph,1268.41,0.715648
com-youtube.ungraph,1091.26,0.715648
soc-LiveJournal1,5340.29,0.748728
soc-LiveJournal1,5346.48,0.748728
soc-LiveJournal1,5345.43,0.748728
soc-LiveJournal1,5443.01,0.748728
soc-LiveJournal1,5438,0.748728
com-youtube.ungraph,1234.81,0.715648
web-Google,352.19,0.97703
as-skitter,743.87,0.847813
com-dblp.ungraph,253.677,0.81469
com-amazon.ungraph,335.28,0.923442
roadNet-TX,290.848,0.990782
roadNet-CA,323.415,0.991816
roadNet-PA,301.976,0.988602
Amazon0505,272.172,0.872576
Brightkite_edges,155.14,0.684856
cit-Patents,2031.74,0.801085
